	True_Label	Predicted_Label	Count
180	MetaphaseAlignment	Binuclear	5
181	MetaphaseAlignment	Elongated	0
182	MetaphaseAlignment	Grape	4
183	MetaphaseAlignment	Hole	0
184	MetaphaseAlignment	Interphase	2
185	MetaphaseAlignment	Large	0
186	MetaphaseAlignment	Metaphase	0
187	MetaphaseAlignment	MetaphaseAlignment	0
188	MetaphaseAlignment	OutOfFocus	0
189	MetaphaseAlignment	Polylobed	127
190	MetaphaseAlignment	Prometaphase	6
191	MetaphaseAlignment	SmallIrregular	10
192	OutOfFocus	ADCCM	18
193	OutOfFocus	Anaphase	0
194	OutOfFocus	Apoptosis	1
195	OutOfFocus	Artefact	2
196	OutOfFocus	Binuclear	32
197	OutOfFocus	Elongated	0
198	OutOfFocus	Grape	2
199	OutOfFocus	Hole	0
200	OutOfFocus	Interphase	17
201	OutOfFocus	Large	0
202	OutOfFocus	Metaphase	0
203	OutOfFocus	MetaphaseAlignment	0
204	OutOfFocus	OutOfFocus	1
205	OutOfFocus	Polylobed	187
206	OutOfFocus	Prometaphase	0
207	OutOfFocus	SmallIrregular	0
208	Polylobed	ADCCM	3
209	Polylobed	Anaphase	26
210	Polylobed	Apoptosis	91
211	Polylobed	Artefact	9
212	Polylobed	Binuclear	323
213	Polylobed	Elongated	2
214	Polylobed	Grape	157
215	Polylobed	Hole	14
216	Polylobed	Interphase	20
217	Polylobed	Large	3
218	Polylobed	Metaphase	0
219	Polylobed	MetaphaseAlignment	4
220	Polylobed	OutOfFocus	1
221	Polylobed	Polylobed	608
222	Polylobed	Prometaphase	46
223	Polylobed	SmallIrregular	56
224	Prometaphase	ADCCM	0
225	Prometaphase	Anaphase	0
226	Prometaphase	Apoptosis	0
227	Prometaphase	Artefact	1
228	Prometaphase	Binuclear	6
229	Prometaphase	Elongated	1
230	Prometaphase	Grape	4
231	Prometaphase	Hole	0
232	Prometaphase	Interphase	8
233	Prometaphase	Large	0
234	Prometaphase	Metaphase	0
235	Prometaphase	MetaphaseAlignment	0
236	Prometaphase	OutOfFocus	1
237	Prometaphase	Polylobed	262
238	Prometaphase	Prometaphase	5
239	Prometaphase	SmallIrregular	5
240	SmallIrregular	ADCCM	3
241	SmallIrregular	Anaphase	0
242	SmallIrregular	Apoptosis	3
243	SmallIrregular	Artefact	1
244	SmallIrregular	Binuclear	3
245	SmallIrregular	Elongated	1
246	SmallIrregular	Grape	2
247	SmallIrregular	Hole	0
248	SmallIrregular	Interphase	15
249	SmallIrregular	Large	0
250	SmallIrregular	Metaphase	1
251	SmallIrregular	MetaphaseAlignment	2
252	SmallIrregular	OutOfFocus	0
253	SmallIrregular	Polylobed	82
254	SmallIrregular	Prometaphase	1
255	SmallIrregular	SmallIrregular	27
