	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
505	SmallIrregular	SmallIrregular Negative	83	train	True	DP
506	SmallIrregular Negative	SmallIrregular	94	train	True	DP
507	SmallIrregular Negative	SmallIrregular Negative	45	train	True	DP
508	Polylobed	Polylobed	123	train	True	DP
509	Polylobed	Polylobed Negative	189	train	True	DP
510	Polylobed Negative	Polylobed	191	train	True	DP
511	Polylobed Negative	Polylobed Negative	121	train	True	DP
512	Metaphase	Metaphase	33	train	True	DP
513	Metaphase	Metaphase Negative	30	train	True	DP
514	Metaphase Negative	Metaphase	25	train	True	DP
515	Metaphase Negative	Metaphase Negative	38	train	True	DP
516	Binuclear	Binuclear	78	train	True	DP
517	Binuclear	Binuclear Negative	78	train	True	DP
518	Binuclear Negative	Binuclear	83	train	True	DP
519	Binuclear Negative	Binuclear Negative	73	train	True	DP
520	Hole	Hole	60	train	True	DP
521	Hole	Hole Negative	37	train	True	DP
522	Hole Negative	Hole	65	train	True	DP
523	Hole Negative	Hole Negative	32	train	True	DP
524	Anaphase	Anaphase	38	train	True	DP
525	Anaphase	Anaphase Negative	33	train	True	DP
526	Anaphase Negative	Anaphase	38	train	True	DP
527	Anaphase Negative	Anaphase Negative	33	train	True	DP
528	MetaphaseAlignment	MetaphaseAlignment	79	train	True	DP
529	MetaphaseAlignment	MetaphaseAlignment Negative	70	train	True	DP
530	MetaphaseAlignment Negative	MetaphaseAlignment	114	train	True	DP
531	MetaphaseAlignment Negative	MetaphaseAlignment Negative	35	train	True	DP
532	Elongated	Elongated	47	train	True	DP
533	Elongated	Elongated Negative	47	train	True	DP
534	Elongated Negative	Elongated	55	train	True	DP
535	Elongated Negative	Elongated Negative	39	train	True	DP
536	OutOfFocus	OutOfFocus	196	train	True	DP
537	OutOfFocus	OutOfFocus Negative	62	train	True	DP
538	OutOfFocus Negative	OutOfFocus	96	train	True	DP
539	OutOfFocus Negative	OutOfFocus Negative	162	train	True	DP
540	Large	Large	7	test	True	DP
541	Large	Large Negative	5	test	True	DP
542	Large Negative	Large	219	test	True	DP
543	Large Negative	Large Negative	199	test	True	DP
544	Prometaphase	Prometaphase	32	test	True	DP
545	Prometaphase	Prometaphase Negative	20	test	True	DP
546	Prometaphase Negative	Prometaphase	91	test	True	DP
547	Prometaphase Negative	Prometaphase Negative	287	test	True	DP
548	Grape	Grape	4	test	True	DP
549	Grape	Grape Negative	7	test	True	DP
550	Grape Negative	Grape	230	test	True	DP
551	Grape Negative	Grape Negative	189	test	True	DP
552	Interphase	Interphase	34	test	True	DP
553	Interphase	Interphase Negative	29	test	True	DP
554	Interphase Negative	Interphase	170	test	True	DP
555	Interphase Negative	Interphase Negative	197	test	True	DP
556	Apoptosis	Apoptosis	16	test	True	DP
557	Apoptosis	Apoptosis Negative	25	test	True	DP
558	Apoptosis Negative	Apoptosis	275	test	True	DP
559	Apoptosis Negative	Apoptosis Negative	114	test	True	DP
560	ADCCM	ADCCM	4	test	True	DP
561	ADCCM	ADCCM Negative	10	test	True	DP
562	ADCCM Negative	ADCCM	204	test	True	DP
563	ADCCM Negative	ADCCM Negative	212	test	True	DP
564	SmallIrregular	SmallIrregular	14	test	True	DP
565	SmallIrregular	SmallIrregular Negative	11	test	True	DP
566	SmallIrregular Negative	SmallIrregular	263	test	True	DP
567	SmallIrregular Negative	SmallIrregular Negative	142	test	True	DP
568	Polylobed	Polylobed	22	test	True	DP
569	Polylobed	Polylobed Negative	33	test	True	DP
570	Polylobed Negative	Polylobed	240	test	True	DP
571	Polylobed Negative	Polylobed Negative	135	test	True	DP
572	Metaphase	Metaphase	3	test	True	DP
573	Metaphase	Metaphase Negative	8	test	True	DP
574	Metaphase Negative	Metaphase	218	test	True	DP
575	Metaphase Negative	Metaphase Negative	201	test	True	DP
576	Binuclear	Binuclear	9	test	True	DP
577	Binuclear	Binuclear Negative	19	test	True	DP
578	Binuclear Negative	Binuclear	194	test	True	DP
579	Binuclear Negative	Binuclear Negative	208	test	True	DP
580	Hole	Hole	9	test	True	DP
581	Hole	Hole Negative	8	test	True	DP
582	Hole Negative	Hole	257	test	True	DP
583	Hole Negative	Hole Negative	156	test	True	DP
584	Anaphase	Anaphase	4	test	True	DP
585	Anaphase	Anaphase Negative	9	test	True	DP
586	Anaphase Negative	Anaphase	218	test	True	DP
587	Anaphase Negative	Anaphase Negative	199	test	True	DP
588	MetaphaseAlignment	MetaphaseAlignment	14	test	True	DP
589	MetaphaseAlignment	MetaphaseAlignment Negative	12	test	True	DP
590	MetaphaseAlignment Negative	MetaphaseAlignment	296	test	True	DP
591	MetaphaseAlignment Negative	MetaphaseAlignment Negative	108	test	True	DP
592	Elongated	Elongated	10	test	True	DP
593	Elongated	Elongated Negative	6	test	True	DP
594	Elongated Negative	Elongated	229	test	True	DP
595	Elongated Negative	Elongated Negative	185	test	True	DP
596	OutOfFocus	OutOfFocus	34	test	True	DP
597	OutOfFocus	OutOfFocus Negative	12	test	True	DP
598	OutOfFocus Negative	OutOfFocus	140	test	True	DP
599	OutOfFocus Negative	OutOfFocus Negative	244	test	True	DP
600	Large	Large	25	train	True	CP_and_DP
601	Large	Large Negative	42	train	True	CP_and_DP
602	Large Negative	Large	41	train	True	CP_and_DP
603	Large Negative	Large Negative	26	train	True	CP_and_DP
604	Prometaphase	Prometaphase	144	train	True	CP_and_DP
605	Prometaphase	Prometaphase Negative	149	train	True	CP_and_DP
606	Prometaphase Negative	Prometaphase	120	train	True	CP_and_DP
607	Prometaphase Negative	Prometaphase Negative	173	train	True	CP_and_DP
608	Grape	Grape	48	train	True	CP_and_DP
609	Grape	Grape Negative	15	train	True	CP_and_DP
610	Grape Negative	Grape	11	train	True	CP_and_DP
611	Grape Negative	Grape Negative	52	train	True	CP_and_DP
612	Interphase	Interphase	193	train	True	CP_and_DP
613	Interphase	Interphase Negative	164	train	True	CP_and_DP
614	Interphase Negative	Interphase	186	train	True	CP_and_DP
615	Interphase Negative	Interphase Negative	171	train	True	CP_and_DP
616	Apoptosis	Apoptosis	127	train	True	CP_and_DP
617	Apoptosis	Apoptosis Negative	105	train	True	CP_and_DP
618	Apoptosis Negative	Apoptosis	60	train	True	CP_and_DP
619	Apoptosis Negative	Apoptosis Negative	172	train	True	CP_and_DP
620	ADCCM	ADCCM	52	train	True	CP_and_DP
621	ADCCM	ADCCM Negative	29	train	True	CP_and_DP
622	ADCCM Negative	ADCCM	34	train	True	CP_and_DP
623	ADCCM Negative	ADCCM Negative	47	train	True	CP_and_DP
624	SmallIrregular	SmallIrregular	71	train	True	CP_and_DP
625	SmallIrregular	SmallIrregular Negative	68	train	True	CP_and_DP
626	SmallIrregular Negative	SmallIrregular	62	train	True	CP_and_DP
627	SmallIrregular Negative	SmallIrregular Negative	77	train	True	CP_and_DP
628	Polylobed	Polylobed	171	train	True	CP_and_DP
629	Polylobed	Polylobed Negative	141	train	True	CP_and_DP
630	Polylobed Negative	Polylobed	233	train	True	CP_and_DP
631	Polylobed Negative	Polylobed Negative	79	train	True	CP_and_DP
632	Metaphase	Metaphase	36	train	True	CP_and_DP
633	Metaphase	Metaphase Negative	27	train	True	CP_and_DP
634	Metaphase Negative	Metaphase	30	train	True	CP_and_DP
635	Metaphase Negative	Metaphase Negative	33	train	True	CP_and_DP
636	Binuclear	Binuclear	92	train	True	CP_and_DP
637	Binuclear	Binuclear Negative	64	train	True	CP_and_DP
638	Binuclear Negative	Binuclear	73	train	True	CP_and_DP
639	Binuclear Negative	Binuclear Negative	83	train	True	CP_and_DP
640	Hole	Hole	35	train	True	CP_and_DP
641	Hole	Hole Negative	62	train	True	CP_and_DP
642	Hole Negative	Hole	57	train	True	CP_and_DP
643	Hole Negative	Hole Negative	40	train	True	CP_and_DP
644	Anaphase	Anaphase	36	train	True	CP_and_DP
645	Anaphase	Anaphase Negative	35	train	True	CP_and_DP
646	Anaphase Negative	Anaphase	42	train	True	CP_and_DP
647	Anaphase Negative	Anaphase Negative	29	train	True	CP_and_DP
648	MetaphaseAlignment	MetaphaseAlignment	78	train	True	CP_and_DP
649	MetaphaseAlignment	MetaphaseAlignment Negative	71	train	True	CP_and_DP
650	MetaphaseAlignment Negative	MetaphaseAlignment	77	train	True	CP_and_DP
651	MetaphaseAlignment Negative	MetaphaseAlignment Negative	72	train	True	CP_and_DP
652	Elongated	Elongated	44	train	True	CP_and_DP
653	Elongated	Elongated Negative	50	train	True	CP_and_DP
654	Elongated Negative	Elongated	41	train	True	CP_and_DP
655	Elongated Negative	Elongated Negative	53	train	True	CP_and_DP
656	OutOfFocus	OutOfFocus	160	train	True	CP_and_DP
657	OutOfFocus	OutOfFocus Negative	98	train	True	CP_and_DP
658	OutOfFocus Negative	OutOfFocus	103	train	True	CP_and_DP
659	OutOfFocus Negative	OutOfFocus Negative	155	train	True	CP_and_DP
660	Large	Large	4	test	True	CP_and_DP
661	Large	Large Negative	8	test	True	CP_and_DP
662	Large Negative	Large	245	test	True	CP_and_DP
663	Large Negative	Large Negative	173	test	True	CP_and_DP
664	Prometaphase	Prometaphase	28	test	True	CP_and_DP
665	Prometaphase	Prometaphase Negative	24	test	True	CP_and_DP
666	Prometaphase Negative	Prometaphase	157	test	True	CP_and_DP
667	Prometaphase Negative	Prometaphase Negative	221	test	True	CP_and_DP
668	Grape	Grape	7	test	True	CP_and_DP
669	Grape	Grape Negative	4	test	True	CP_and_DP
670	Grape Negative	Grape	105	test	True	CP_and_DP
671	Grape Negative	Grape Negative	314	test	True	CP_and_DP
672	Interphase	Interphase	31	test	True	CP_and_DP
673	Interphase	Interphase Negative	32	test	True	CP_and_DP
674	Interphase Negative	Interphase	203	test	True	CP_and_DP
675	Interphase Negative	Interphase Negative	164	test	True	CP_and_DP
676	Apoptosis	Apoptosis	22	test	True	CP_and_DP
677	Apoptosis	Apoptosis Negative	19	test	True	CP_and_DP
678	Apoptosis Negative	Apoptosis	104	test	True	CP_and_DP
679	Apoptosis Negative	Apoptosis Negative	285	test	True	CP_and_DP
680	ADCCM	ADCCM	3	test	True	CP_and_DP
681	ADCCM	ADCCM Negative	11	test	True	CP_and_DP
682	ADCCM Negative	ADCCM	186	test	True	CP_and_DP
683	ADCCM Negative	ADCCM Negative	230	test	True	CP_and_DP
684	SmallIrregular	SmallIrregular	12	test	True	CP_and_DP
685	SmallIrregular	SmallIrregular Negative	13	test	True	CP_and_DP
686	SmallIrregular Negative	SmallIrregular	198	test	True	CP_and_DP
687	SmallIrregular Negative	SmallIrregular Negative	207	test	True	CP_and_DP
688	Polylobed	Polylobed	32	test	True	CP_and_DP
689	Polylobed	Polylobed Negative	23	test	True	CP_and_DP
690	Polylobed Negative	Polylobed	290	test	True	CP_and_DP
691	Polylobed Negative	Polylobed Negative	85	test	True	CP_and_DP
692	Metaphase	Metaphase	8	test	True	CP_and_DP
693	Metaphase	Metaphase Negative	3	test	True	CP_and_DP
694	Metaphase Negative	Metaphase	196	test	True	CP_and_DP
695	Metaphase Negative	Metaphase Negative	223	test	True	CP_and_DP
696	Binuclear	Binuclear	19	test	True	CP_and_DP
697	Binuclear	Binuclear Negative	9	test	True	CP_and_DP
698	Binuclear Negative	Binuclear	181	test	True	CP_and_DP
699	Binuclear Negative	Binuclear Negative	221	test	True	CP_and_DP
700	Hole	Hole	9	test	True	CP_and_DP
701	Hole	Hole Negative	8	test	True	CP_and_DP
702	Hole Negative	Hole	253	test	True	CP_and_DP
703	Hole Negative	Hole Negative	160	test	True	CP_and_DP
704	Anaphase	Anaphase	6	test	True	CP_and_DP
705	Anaphase	Anaphase Negative	7	test	True	CP_and_DP
706	Anaphase Negative	Anaphase	246	test	True	CP_and_DP
707	Anaphase Negative	Anaphase Negative	171	test	True	CP_and_DP
708	MetaphaseAlignment	MetaphaseAlignment	17	test	True	CP_and_DP
709	MetaphaseAlignment	MetaphaseAlignment Negative	9	test	True	CP_and_DP
710	MetaphaseAlignment Negative	MetaphaseAlignment	232	test	True	CP_and_DP
711	MetaphaseAlignment Negative	MetaphaseAlignment Negative	172	test	True	CP_and_DP
712	Elongated	Elongated	9	test	True	CP_and_DP
713	Elongated	Elongated Negative	7	test	True	CP_and_DP
714	Elongated Negative	Elongated	192	test	True	CP_and_DP
715	Elongated Negative	Elongated Negative	222	test	True	CP_and_DP
716	OutOfFocus	OutOfFocus	27	test	True	CP_and_DP
717	OutOfFocus	OutOfFocus Negative	19	test	True	CP_and_DP
718	OutOfFocus Negative	OutOfFocus	140	test	True	CP_and_DP
719	OutOfFocus Negative	OutOfFocus Negative	244	test	True	CP_and_DP
