	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
107	Anaphase Negative	Anaphase Negative	350	test	False	CP
108	MetaphaseAlignment	MetaphaseAlignment	25	test	False	CP
109	MetaphaseAlignment	MetaphaseAlignment Negative	1	test	False	CP
110	MetaphaseAlignment Negative	MetaphaseAlignment	85	test	False	CP
111	MetaphaseAlignment Negative	MetaphaseAlignment Negative	319	test	False	CP
112	Elongated	Elongated	16	test	False	CP
113	Elongated	Elongated Negative	0	test	False	CP
114	Elongated Negative	Elongated	17	test	False	CP
115	Elongated Negative	Elongated Negative	397	test	False	CP
116	OutOfFocus	OutOfFocus	46	test	False	CP
117	OutOfFocus	OutOfFocus Negative	0	test	False	CP
118	OutOfFocus Negative	OutOfFocus	17	test	False	CP
119	OutOfFocus Negative	OutOfFocus Negative	367	test	False	CP
120	Large	Large	66	train	False	DP
121	Large	Large Negative	1	train	False	DP
122	Large Negative	Large	10	train	False	DP
123	Large Negative	Large Negative	57	train	False	DP
124	Prometaphase	Prometaphase	288	train	False	DP
125	Prometaphase	Prometaphase Negative	5	train	False	DP
126	Prometaphase Negative	Prometaphase	10	train	False	DP
127	Prometaphase Negative	Prometaphase Negative	283	train	False	DP
128	Grape	Grape	62	train	False	DP
129	Grape	Grape Negative	1	train	False	DP
130	Grape Negative	Grape	7	train	False	DP
131	Grape Negative	Grape Negative	56	train	False	DP
132	Interphase	Interphase	334	train	False	DP
133	Interphase	Interphase Negative	23	train	False	DP
134	Interphase Negative	Interphase	20	train	False	DP
135	Interphase Negative	Interphase Negative	337	train	False	DP
136	Apoptosis	Apoptosis	223	train	False	DP
137	Apoptosis	Apoptosis Negative	9	train	False	DP
138	Apoptosis Negative	Apoptosis	17	train	False	DP
139	Apoptosis Negative	Apoptosis Negative	215	train	False	DP
140	ADCCM	ADCCM	81	train	False	DP
141	ADCCM	ADCCM Negative	0	train	False	DP
142	ADCCM Negative	ADCCM	3	train	False	DP
143	ADCCM Negative	ADCCM Negative	78	train	False	DP
144	SmallIrregular	SmallIrregular	128	train	False	DP
145	SmallIrregular	SmallIrregular Negative	11	train	False	DP
146	SmallIrregular Negative	SmallIrregular	26	train	False	DP
147	SmallIrregular Negative	SmallIrregular Negative	113	train	False	DP
148	Polylobed	Polylobed	308	train	False	DP
149	Polylobed	Polylobed Negative	4	train	False	DP
150	Polylobed Negative	Polylobed	22	train	False	DP
151	Polylobed Negative	Polylobed Negative	290	train	False	DP
152	Metaphase	Metaphase	63	train	False	DP
153	Metaphase	Metaphase Negative	0	train	False	DP
154	Metaphase Negative	Metaphase	3	train	False	DP
