	True_Label	Predicted_Label	Count
180	MetaphaseAlignment	Binuclear	0
181	MetaphaseAlignment	Elongated	0
182	MetaphaseAlignment	Grape	0
183	MetaphaseAlignment	Hole	0
184	MetaphaseAlignment	Interphase	1
185	MetaphaseAlignment	Large	0
186	MetaphaseAlignment	Metaphase	0
187	MetaphaseAlignment	MetaphaseAlignment	151
188	MetaphaseAlignment	OutOfFocus	0
189	MetaphaseAlignment	Polylobed	1
190	MetaphaseAlignment	Prometaphase	2
191	MetaphaseAlignment	SmallIrregular	0
192	OutOfFocus	ADCCM	0
193	OutOfFocus	Anaphase	0
194	OutOfFocus	Apoptosis	0
195	OutOfFocus	Artefact	0
196	OutOfFocus	Binuclear	0
197	OutOfFocus	Elongated	0
198	OutOfFocus	Grape	0
199	OutOfFocus	Hole	0
200	OutOfFocus	Interphase	0
201	OutOfFocus	Large	0
202	OutOfFocus	Metaphase	0
203	OutOfFocus	MetaphaseAlignment	0
204	OutOfFocus	OutOfFocus	260
205	OutOfFocus	Polylobed	0
206	OutOfFocus	Prometaphase	0
207	OutOfFocus	SmallIrregular	0
208	Polylobed	ADCCM	0
209	Polylobed	Anaphase	0
210	Polylobed	Apoptosis	1
211	Polylobed	Artefact	1
212	Polylobed	Binuclear	15
213	Polylobed	Elongated	0
214	Polylobed	Grape	1
215	Polylobed	Hole	0
216	Polylobed	Interphase	3
217	Polylobed	Large	0
218	Polylobed	Metaphase	0
219	Polylobed	MetaphaseAlignment	0
220	Polylobed	OutOfFocus	0
221	Polylobed	Polylobed	1342
222	Polylobed	Prometaphase	0
223	Polylobed	SmallIrregular	0
224	Prometaphase	ADCCM	0
225	Prometaphase	Anaphase	0
226	Prometaphase	Apoptosis	3
227	Prometaphase	Artefact	0
228	Prometaphase	Binuclear	0
229	Prometaphase	Elongated	0
230	Prometaphase	Grape	0
231	Prometaphase	Hole	0
232	Prometaphase	Interphase	1
233	Prometaphase	Large	0
234	Prometaphase	Metaphase	0
235	Prometaphase	MetaphaseAlignment	2
236	Prometaphase	OutOfFocus	0
237	Prometaphase	Polylobed	1
238	Prometaphase	Prometaphase	285
239	Prometaphase	SmallIrregular	1
240	SmallIrregular	ADCCM	0
241	SmallIrregular	Anaphase	0
242	SmallIrregular	Apoptosis	0
243	SmallIrregular	Artefact	0
244	SmallIrregular	Binuclear	0
245	SmallIrregular	Elongated	0
246	SmallIrregular	Grape	0
247	SmallIrregular	Hole	1
248	SmallIrregular	Interphase	2
249	SmallIrregular	Large	0
250	SmallIrregular	Metaphase	0
251	SmallIrregular	MetaphaseAlignment	0
252	SmallIrregular	OutOfFocus	0
253	SmallIrregular	Polylobed	0
254	SmallIrregular	Prometaphase	1
255	SmallIrregular	SmallIrregular	137
