	Feature_Name	Phenotypic_Class	ML_coefficient
95	DP__efficientnet_6	Grape	0.005702018223525917
96	DP__efficientnet_6	Hole	-0.004769140666255297
97	DP__efficientnet_6	Interphase	0.0026807963149031084
98	DP__efficientnet_6	Large	0.0005307047547319062
99	DP__efficientnet_6	Metaphase	0.004880354592557017
100	DP__efficientnet_6	MetaphaseAlignment	-0.010804265123463158
101	DP__efficientnet_6	OutOfFocus	-0.006102896749698519
102	DP__efficientnet_6	Polylobed	0.00938646110499873
103	DP__efficientnet_6	Prometaphase	-0.019525605831165773
104	DP__efficientnet_6	SmallIrregular	0.008428439699565532
105	DP__efficientnet_7	ADCCM	0.0014386889813350152
106	DP__efficientnet_7	Anaphase	-0.00013010058850382016
107	DP__efficientnet_7	Apoptosis	-0.009669712891170888
108	DP__efficientnet_7	Binuclear	-0.0018439936624339885
109	DP__efficientnet_7	Elongated	0.018369799804177613
110	DP__efficientnet_7	Grape	-0.016899258693893946
111	DP__efficientnet_7	Hole	-0.0009083342993762758
112	DP__efficientnet_7	Interphase	0.009518312442961476
113	DP__efficientnet_7	Large	-0.022714290317670895
114	DP__efficientnet_7	Metaphase	0.0019204453872399883
115	DP__efficientnet_7	MetaphaseAlignment	-0.012580770048879877
116	DP__efficientnet_7	OutOfFocus	-0.016537354643309635
117	DP__efficientnet_7	Polylobed	0.011834318864604523
118	DP__efficientnet_7	Prometaphase	0.015840269690100054
119	DP__efficientnet_7	SmallIrregular	0.022361979974819146
120	DP__efficientnet_8	ADCCM	0.00916503205279783
121	DP__efficientnet_8	Anaphase	-0.004981204731921794
122	DP__efficientnet_8	Apoptosis	-0.007302928349292127
123	DP__efficientnet_8	Binuclear	0.007020877502796499
124	DP__efficientnet_8	Elongated	-0.0034670098596754845
125	DP__efficientnet_8	Grape	-0.004847379235394531
126	DP__efficientnet_8	Hole	-0.011149071656150363
127	DP__efficientnet_8	Interphase	0.010491208879062701
128	DP__efficientnet_8	Large	0.013214797755113219
129	DP__efficientnet_8	Metaphase	0.01585406325276267
130	DP__efficientnet_8	MetaphaseAlignment	-0.0018871669145344035
131	DP__efficientnet_8	OutOfFocus	-0.001528551660382643
132	DP__efficientnet_8	Polylobed	0.0017137930957256441
133	DP__efficientnet_8	Prometaphase	-0.004134795181885015
134	DP__efficientnet_8	SmallIrregular	-0.018161664949022566
135	DP__efficientnet_9	ADCCM	-0.004776191375718259
136	DP__efficientnet_9	Anaphase	-0.008275133582215342
137	DP__efficientnet_9	Apoptosis	-0.013343249649779449
138	DP__efficientnet_9	Binuclear	0.01566481658160035
139	DP__efficientnet_9	Elongated	-0.009233792550815469
140	DP__efficientnet_9	Grape	-0.006941523851915586
141	DP__efficientnet_9	Hole	0.0012421676337456315
142	DP__efficientnet_9	Interphase	0.014105642226226544
143	DP__efficientnet_9	Large	0.0005808671528602653
