	Feature_Name	Phenotypic_Class	Value
78	CP__AreaShape_BoundingBoxMinimum_Y	Binuclear	0.0
79	CP__AreaShape_BoundingBoxMinimum_Y	Elongated	0.0
80	CP__AreaShape_BoundingBoxMinimum_Y	Grape	0.0
81	CP__AreaShape_BoundingBoxMinimum_Y	Hole	0.0
82	CP__AreaShape_BoundingBoxMinimum_Y	Interphase	0.011829499080002116
83	CP__AreaShape_BoundingBoxMinimum_Y	Large	0.0030382193239502243
84	CP__AreaShape_BoundingBoxMinimum_Y	Metaphase	0.006623861885618901
85	CP__AreaShape_BoundingBoxMinimum_Y	MetaphaseAlignment	0.0208718657216258
86	CP__AreaShape_BoundingBoxMinimum_Y	OutOfFocus	0.0
87	CP__AreaShape_BoundingBoxMinimum_Y	Polylobed	0.015504013272666593
88	CP__AreaShape_BoundingBoxMinimum_Y	Prometaphase	0.033173924864323426
89	CP__AreaShape_BoundingBoxMinimum_Y	SmallIrregular	0.050063579022774814
90	CP__AreaShape_Center_X	ADCCM	0.003731514696094135
91	CP__AreaShape_Center_X	Anaphase	0.0
92	CP__AreaShape_Center_X	Apoptosis	0.0
93	CP__AreaShape_Center_X	Binuclear	0.002824259383033474
94	CP__AreaShape_Center_X	Elongated	0.0
95	CP__AreaShape_Center_X	Grape	0.0
96	CP__AreaShape_Center_X	Hole	0.0
97	CP__AreaShape_Center_X	Interphase	0.028272763751596097
98	CP__AreaShape_Center_X	Large	0.004096394839162379
99	CP__AreaShape_Center_X	Metaphase	0.0
100	CP__AreaShape_Center_X	MetaphaseAlignment	0.003089768134947357
101	CP__AreaShape_Center_X	OutOfFocus	0.0005358860051148551
102	CP__AreaShape_Center_X	Polylobed	0.0
103	CP__AreaShape_Center_X	Prometaphase	0.0
104	CP__AreaShape_Center_X	SmallIrregular	0.03496043138865512
105	CP__AreaShape_Center_Y	ADCCM	0.0403194382311395
106	CP__AreaShape_Center_Y	Anaphase	0.0
107	CP__AreaShape_Center_Y	Apoptosis	0.03389090877171708
108	CP__AreaShape_Center_Y	Binuclear	0.0
109	CP__AreaShape_Center_Y	Elongated	0.0
110	CP__AreaShape_Center_Y	Grape	0.0
111	CP__AreaShape_Center_Y	Hole	0.0
112	CP__AreaShape_Center_Y	Interphase	0.011794346862556822
113	CP__AreaShape_Center_Y	Large	0.0017704642844927202
114	CP__AreaShape_Center_Y	Metaphase	0.006467054488035531
115	CP__AreaShape_Center_Y	MetaphaseAlignment	0.020673491593430095
116	CP__AreaShape_Center_Y	OutOfFocus	0.0
117	CP__AreaShape_Center_Y	Polylobed	0.015425747347526829
118	CP__AreaShape_Center_Y	Prometaphase	0.03324065057043092
119	CP__AreaShape_Center_Y	SmallIrregular	0.04924152202692048
120	CP__AreaShape_Compactness	ADCCM	0.05120784838565585
121	CP__AreaShape_Compactness	Anaphase	0.0
122	CP__AreaShape_Compactness	Apoptosis	0.0
123	CP__AreaShape_Compactness	Binuclear	0.07133765289840335
124	CP__AreaShape_Compactness	Elongated	0.0857176783318449
125	CP__AreaShape_Compactness	Grape	0.044934485633302934
126	CP__AreaShape_Compactness	Hole	0.045865121445190386
127	CP__AreaShape_Compactness	Interphase	0.14493595202374643
128	CP__AreaShape_Compactness	Large	0.0
129	CP__AreaShape_Compactness	Metaphase	0.0
130	CP__AreaShape_Compactness	MetaphaseAlignment	0.0
131	CP__AreaShape_Compactness	OutOfFocus	0.0
132	CP__AreaShape_Compactness	Polylobed	0.05321160619417718
133	CP__AreaShape_Compactness	Prometaphase	0.0
134	CP__AreaShape_Compactness	SmallIrregular	0.01612145267359751
135	CP__AreaShape_ConvexArea	ADCCM	0.0
136	CP__AreaShape_ConvexArea	Anaphase	0.03138462272021603
137	CP__AreaShape_ConvexArea	Apoptosis	0.012709272655745603
138	CP__AreaShape_ConvexArea	Binuclear	0.0
139	CP__AreaShape_ConvexArea	Elongated	0.0
140	CP__AreaShape_ConvexArea	Grape	0.01566089966716071
141	CP__AreaShape_ConvexArea	Hole	0.0
142	CP__AreaShape_ConvexArea	Interphase	0.0
143	CP__AreaShape_ConvexArea	Large	0.10714366492622655
144	CP__AreaShape_ConvexArea	Metaphase	0.006303667526832425
145	CP__AreaShape_ConvexArea	MetaphaseAlignment	0.0
146	CP__AreaShape_ConvexArea	OutOfFocus	0.07399755168781319
147	CP__AreaShape_ConvexArea	Polylobed	0.02070965372058857
148	CP__AreaShape_ConvexArea	Prometaphase	0.0
149	CP__AreaShape_ConvexArea	SmallIrregular	0.0021872533675721894
150	CP__AreaShape_Eccentricity	ADCCM	0.043145183841905244
151	CP__AreaShape_Eccentricity	Anaphase	0.05793160765877648
152	CP__AreaShape_Eccentricity	Apoptosis	0.0
153	CP__AreaShape_Eccentricity	Binuclear	0.0
154	CP__AreaShape_Eccentricity	Elongated	0.04689350142215668
155	CP__AreaShape_Eccentricity	Grape	0.014602533266775604
156	CP__AreaShape_Eccentricity	Hole	0.07824668542202144
157	CP__AreaShape_Eccentricity	Interphase	0.012455505659425003
158	CP__AreaShape_Eccentricity	Large	0.0
159	CP__AreaShape_Eccentricity	Metaphase	0.0850599993823829
160	CP__AreaShape_Eccentricity	MetaphaseAlignment	0.0010183516699409172
161	CP__AreaShape_Eccentricity	OutOfFocus	0.0
162	CP__AreaShape_Eccentricity	Polylobed	0.0
163	CP__AreaShape_Eccentricity	Prometaphase	0.11968160719372928
164	CP__AreaShape_Eccentricity	SmallIrregular	0.0
165	CP__AreaShape_EquivalentDiameter	ADCCM	0.0
166	CP__AreaShape_EquivalentDiameter	Anaphase	0.048523521051642135
167	CP__AreaShape_EquivalentDiameter	Apoptosis	0.03523068258616745
168	CP__AreaShape_EquivalentDiameter	Binuclear	0.022366488939544422
169	CP__AreaShape_EquivalentDiameter	Elongated	0.0
170	CP__AreaShape_EquivalentDiameter	Grape	0.022445610174290236
171	CP__AreaShape_EquivalentDiameter	Hole	0.0
172	CP__AreaShape_EquivalentDiameter	Interphase	0.0
173	CP__AreaShape_EquivalentDiameter	Large	0.06032179517493295
174	CP__AreaShape_EquivalentDiameter	Metaphase	0.0
175	CP__AreaShape_EquivalentDiameter	MetaphaseAlignment	0.0
176	CP__AreaShape_EquivalentDiameter	OutOfFocus	0.04985856305085833
177	CP__AreaShape_EquivalentDiameter	Polylobed	0.0
178	CP__AreaShape_EquivalentDiameter	Prometaphase	0.0
179	CP__AreaShape_EquivalentDiameter	SmallIrregular	0.0
180	CP__AreaShape_EulerNumber	ADCCM	0.0
181	CP__AreaShape_EulerNumber	Anaphase	0.0
182	CP__AreaShape_EulerNumber	Apoptosis	0.0
183	CP__AreaShape_EulerNumber	Binuclear	0.0
184	CP__AreaShape_EulerNumber	Elongated	0.0
185	CP__AreaShape_EulerNumber	Grape	0.018415046182952467
186	CP__AreaShape_EulerNumber	Hole	0.0
187	CP__AreaShape_EulerNumber	Interphase	0.0
188	CP__AreaShape_EulerNumber	Large	0.0
189	CP__AreaShape_EulerNumber	Metaphase	0.0
190	CP__AreaShape_EulerNumber	MetaphaseAlignment	0.0
191	CP__AreaShape_EulerNumber	OutOfFocus	0.0
192	CP__AreaShape_EulerNumber	Polylobed	0.0021304504639025022
193	CP__AreaShape_EulerNumber	Prometaphase	0.0
194	CP__AreaShape_EulerNumber	SmallIrregular	0.0
195	CP__AreaShape_Extent	ADCCM	0.04274319586561117
196	CP__AreaShape_Extent	Anaphase	0.00018987144939948465
197	CP__AreaShape_Extent	Apoptosis	0.0007535961002697572
198	CP__AreaShape_Extent	Binuclear	0.06317560622924567
199	CP__AreaShape_Extent	Elongated	0.07054948627139285
200	CP__AreaShape_Extent	Grape	0.0060850514983436885
201	CP__AreaShape_Extent	Hole	0.02140327344960051
202	CP__AreaShape_Extent	Interphase	0.10764383741528397
203	CP__AreaShape_Extent	Large	0.01595477152826438
204	CP__AreaShape_Extent	Metaphase	0.0
205	CP__AreaShape_Extent	MetaphaseAlignment	0.0
206	CP__AreaShape_Extent	OutOfFocus	0.0
207	CP__AreaShape_Extent	Polylobed	0.0021519935196557473
208	CP__AreaShape_Extent	Prometaphase	0.0
209	CP__AreaShape_Extent	SmallIrregular	0.0781342661405232
210	CP__AreaShape_FormFactor	ADCCM	0.07383194794705965
211	CP__AreaShape_FormFactor	Anaphase	0.0017560201408958291
212	CP__AreaShape_FormFactor	Apoptosis	1.4228938213638217e-07
213	CP__AreaShape_FormFactor	Binuclear	0.07749991716310983
214	CP__AreaShape_FormFactor	Elongated	0.10092229519088762
215	CP__AreaShape_FormFactor	Grape	0.04270957094137094
216	CP__AreaShape_FormFactor	Hole	0.07123952831486713
217	CP__AreaShape_FormFactor	Interphase	0.16852724330178603
218	CP__AreaShape_FormFactor	Large	0.0010401701177578573
219	CP__AreaShape_FormFactor	Metaphase	0.02769918989146402
220	CP__AreaShape_FormFactor	MetaphaseAlignment	0.006352849893837068
221	CP__AreaShape_FormFactor	OutOfFocus	0.0
222	CP__AreaShape_FormFactor	Polylobed	0.08673928710671579
223	CP__AreaShape_FormFactor	Prometaphase	0.010499935098583728
224	CP__AreaShape_FormFactor	SmallIrregular	0.029493302374608725
225	CP__AreaShape_MajorAxisLength	ADCCM	0.0
226	CP__AreaShape_MajorAxisLength	Anaphase	0.04195699418468441
227	CP__AreaShape_MajorAxisLength	Apoptosis	0.03904549642445267
228	CP__AreaShape_MajorAxisLength	Binuclear	0.0
229	CP__AreaShape_MajorAxisLength	Elongated	0.03671812310385953
230	CP__AreaShape_MajorAxisLength	Grape	0.03672510191117452
231	CP__AreaShape_MajorAxisLength	Hole	0.031178198872149968
232	CP__AreaShape_MajorAxisLength	Interphase	0.021510500284930546
233	CP__AreaShape_MajorAxisLength	Large	0.06465874306013761
234	CP__AreaShape_MajorAxisLength	Metaphase	0.0
235	CP__AreaShape_MajorAxisLength	MetaphaseAlignment	0.0
236	CP__AreaShape_MajorAxisLength	OutOfFocus	0.05551969636182176
237	CP__AreaShape_MajorAxisLength	Polylobed	0.007932052548563629
238	CP__AreaShape_MajorAxisLength	Prometaphase	0.03039782495038983
239	CP__AreaShape_MajorAxisLength	SmallIrregular	0.017731946653522575
240	CP__AreaShape_MaxFeretDiameter	ADCCM	0.0
241	CP__AreaShape_MaxFeretDiameter	Anaphase	0.04877645678576313
242	CP__AreaShape_MaxFeretDiameter	Apoptosis	0.035489101910335996
243	CP__AreaShape_MaxFeretDiameter	Binuclear	0.0
244	CP__AreaShape_MaxFeretDiameter	Elongated	0.021402468839271317
245	CP__AreaShape_MaxFeretDiameter	Grape	0.02689262697950785
246	CP__AreaShape_MaxFeretDiameter	Hole	0.027934862847035145
247	CP__AreaShape_MaxFeretDiameter	Interphase	0.0
248	CP__AreaShape_MaxFeretDiameter	Large	0.06564296094702851
249	CP__AreaShape_MaxFeretDiameter	Metaphase	0.0
250	CP__AreaShape_MaxFeretDiameter	MetaphaseAlignment	0.0
251	CP__AreaShape_MaxFeretDiameter	OutOfFocus	0.057181932183520634
252	CP__AreaShape_MaxFeretDiameter	Polylobed	0.028722800793883774
253	CP__AreaShape_MaxFeretDiameter	Prometaphase	0.025837172792022578
254	CP__AreaShape_MaxFeretDiameter	SmallIrregular	0.017575548690456008
255	CP__AreaShape_MaximumRadius	ADCCM	0.019125095035562527
256	CP__AreaShape_MaximumRadius	Anaphase	0.04482726749901481
257	CP__AreaShape_MaximumRadius	Apoptosis	0.01156135987302427
258	CP__AreaShape_MaximumRadius	Binuclear	0.05650752624479138
259	CP__AreaShape_MaximumRadius	Elongated	0.038722679585930404
260	CP__AreaShape_MaximumRadius	Grape	0.015614651708862608
261	CP__AreaShape_MaximumRadius	Hole	0.0
262	CP__AreaShape_MaximumRadius	Interphase	0.0
263	CP__AreaShape_MaximumRadius	Large	0.03694452993916172
264	CP__AreaShape_MaximumRadius	Metaphase	0.02553344418036999
265	CP__AreaShape_MaximumRadius	MetaphaseAlignment	0.0
266	CP__AreaShape_MaximumRadius	OutOfFocus	0.040956930840173836
267	CP__AreaShape_MaximumRadius	Polylobed	0.0
268	CP__AreaShape_MaximumRadius	Prometaphase	0.0210362778623641
269	CP__AreaShape_MaximumRadius	SmallIrregular	0.0
270	CP__AreaShape_MeanRadius	ADCCM	0.007834737183576475
271	CP__AreaShape_MeanRadius	Anaphase	0.035612120342468544
272	CP__AreaShape_MeanRadius	Apoptosis	0.031369298111495955
273	CP__AreaShape_MeanRadius	Binuclear	0.05415658147111219
274	CP__AreaShape_MeanRadius	Elongated	0.019643101457063578
275	CP__AreaShape_MeanRadius	Grape	0.025533454766695513
276	CP__AreaShape_MeanRadius	Hole	0.0
277	CP__AreaShape_MeanRadius	Interphase	0.01736410677233606
