UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
6.09992	8.201322	3.9040167	Large
4.187724	9.138923	4.1489987	Artefact
4.629803	9.024216	4.353224	Artefact
4.420105	8.991823	4.3055735	Artefact
5.3209386	7.9141097	4.627112	Artefact
4.210637	9.296473	4.1934605	Artefact
4.591209	9.024914	4.2561145	Artefact
4.42604	9.019446	4.2639103	Artefact
4.49359	8.874535	4.351241	Artefact
4.4969044	8.839159	4.37305	Artefact
4.528741	8.740748	4.324603	Artefact
2.5387084	9.535888	4.187536	Polylobed
2.6066604	9.534411	4.134536	Polylobed
2.8942084	9.3930235	4.4807725	Polylobed
4.458333	8.8202715	4.406882	Artefact
2.6909945	9.505971	4.3646927	Polylobed
2.6927133	9.361007	4.449937	Polylobed
2.4066973	8.098452	4.3370047	Polylobed
2.8321788	7.7147746	4.3921804	Polylobed
2.4206352	7.994832	4.4112773	Polylobed
3.413569	5.6406565	4.849427	Polylobed
5.0863786	9.136582	2.824724	Metaphase
6.557699	6.4492345	2.9511642	Metaphase
7.893382	5.930965	3.4351203	MetaphaseAlignment
6.26245	8.587044	3.8108785	MetaphaseAlignment
6.0958896	7.699391	3.9627526	Polylobed
6.0936813	7.812379	3.9101794	Polylobed
7.646379	6.0814943	3.7682285	MetaphaseAlignment
5.1155653	8.452235	4.7381425	Polylobed
5.1843843	8.443047	4.607396	Polylobed
5.1539717	8.47254	4.6991124	Polylobed
5.0097365	8.737032	4.5059047	Polylobed
7.334627	6.2881193	3.5030067	MetaphaseAlignment
6.13169	8.084767	4.388331	MetaphaseAlignment
6.213199	7.6041193	3.8163662	Large
4.8907976	9.363146	3.7468827	Polylobed
4.9073253	9.402967	3.6769786	Polylobed
2.7488458	9.465655	3.4772503	Binuclear
2.7685626	9.195079	3.6044898	Binuclear
3.255513	9.853975	3.7002745	Polylobed
3.2579546	9.857763	3.705808	Polylobed
8.068748	6.797448	4.1459126	Prometaphase
3.3641002	9.773683	3.6883626	Polylobed
3.0641303	9.183021	4.4770064	Polylobed
3.5126917	9.256833	4.19993	Polylobed
2.8635423	9.4165125	4.4061327	Polylobed
2.6293614	9.490947	4.274486	Polylobed
3.4133704	9.442676	4.0283823	Polylobed
3.1207623	9.454287	3.9147718	Polylobed
7.8455935	5.968487	3.5214896	MetaphaseAlignment
7.9332004	5.86041	3.3854036	MetaphaseAlignment
2.4667032	9.138434	3.7838278	Large
2.504828	9.077262	3.8687909	Large
2.4538183	9.242953	3.8014784	Large
6.12695	8.256477	4.211949	MetaphaseAlignment
6.075757	8.776106	3.7517908	MetaphaseAlignment
6.085223	6.6956286	3.5136595	Metaphase
6.192161	6.5591474	3.3511627	Metaphase
5.8252583	6.4183993	2.5836494	Artefact
4.446766	7.76951	2.597095	Artefact
6.0968285	8.173619	3.431842	Metaphase
5.957099	8.705714	3.8527164	Metaphase
3.3600926	9.479297	4.0090537	Artefact
3.3524601	9.614274	3.7856429	Artefact
3.5867264	9.06906	4.28668	Artefact
3.8040802	9.447303	4.036963	Artefact
3.5141134	9.526387	4.002727	Metaphase
6.2143254	7.4620023	3.5105548	MetaphaseAlignment
2.735839	8.468974	4.0165253	Large
2.8039134	9.543959	4.2974715	Polylobed
6.7427244	6.872772	4.4292164	MetaphaseAlignment
2.8161447	9.484878	4.3811154	Polylobed
2.8314664	9.381591	4.389385	Polylobed
2.8978393	8.72967	4.542005	Polylobed
2.82808	9.351202	4.198413	Polylobed
2.905946	8.707596	4.5295105	Polylobed
2.8937316	8.692509	4.6080203	Polylobed
2.8741386	8.748812	4.502806	Polylobed
4.7686286	9.264601	4.020444	Large
5.7605877	8.551679	4.016855	Polylobed
5.358763	9.147334	4.067867	Large
5.426904	9.392194	3.3909295	Metaphase
4.9778357	9.430708	4.2091384	Artefact
4.877319	9.426531	4.321716	Artefact
4.9161696	9.460778	4.2616506	Artefact
5.9321	8.494302	3.8346343	Metaphase
5.6176977	9.452653	3.3485277	Artefact
5.5805016	9.455937	3.306424	Metaphase
5.6071563	9.494752	3.2986956	Artefact
5.591009	9.428318	3.334862	Metaphase
2.3813076	9.397204	4.3496385	Polylobed
2.508857	9.411615	4.4032555	Polylobed
4.731002	9.211691	4.6876087	Artefact
2.4222927	9.328074	4.3476543	Polylobed
4.8476253	9.027233	4.7877173	Artefact
4.8502975	9.350445	4.4991984	Artefact
2.4473937	9.304664	4.4095364	Polylobed
4.8080306	9.140207	4.6913285	Artefact
4.830186	9.296515	4.585237	Artefact
4.8672366	8.888561	4.8769917	Artefact
4.7479587	9.170283	4.7133474	Artefact
2.4682298	7.7633705	4.081398	Polylobed
2.3919783	7.7686954	4.133405	Polylobed
4.7783275	9.2092905	4.6732707	Artefact
6.6351466	8.265453	3.1504667	Artefact
6.476531	8.253139	3.2376456	Artefact
5.121972	9.393337	3.814559	Artefact
