UMAP1	UMAP2	Mitocheck_Phenotypic_Class
1.3451139	8.912921	Polylobed
2.3503115	9.119711	Polylobed
2.1885865	9.164871	Polylobed
7.9407644	5.2098093	MetaphaseAlignment
8.240695	5.2861032	MetaphaseAlignment
1.7100496	8.556338	Large
1.7125391	8.412545	Large
1.6683768	8.573806	Large
5.7384086	7.731587	MetaphaseAlignment
5.664193	8.101798	MetaphaseAlignment
6.185737	5.878901	Metaphase
6.295439	5.8162303	Metaphase
5.638321	5.7687283	Artefact
3.8845043	7.0671706	Artefact
5.845585	7.4539595	Metaphase
5.5661173	8.065933	Metaphase
2.3371117	9.136354	Artefact
2.4839935	9.271971	Artefact
2.5762863	8.685142	Artefact
2.5728498	9.105887	Artefact
2.580775	9.245284	Metaphase
5.9509463	6.6955633	MetaphaseAlignment
1.8311837	7.8743567	Large
1.5814639	9.043517	Polylobed
6.4882703	4.4216733	MetaphaseAlignment
1.5480816	9.061577	Polylobed
1.581986	8.965061	Polylobed
1.5436432	8.02074	Polylobed
1.7224344	8.888665	Polylobed
1.5827678	8.023493	Polylobed
1.4970995	8.002207	Polylobed
1.5523896	8.068497	Polylobed
4.557342	8.744472	Large
5.3344727	7.919019	Polylobed
5.010013	8.570603	Large
5.2679906	8.855581	Metaphase
4.470857	9.1311455	Artefact
4.3374352	9.146426	Artefact
4.3637633	9.146464	Artefact
5.535803	7.8457646	Metaphase
5.429763	8.869651	Artefact
5.443794	8.886522	Metaphase
5.4573708	8.912834	Artefact
5.4233947	8.861427	Metaphase
1.1342893	8.730875	Polylobed
1.2310836	8.820223	Polylobed
4.0653872	9.013164	Artefact
1.2016312	8.677725	Polylobed
4.1640487	8.940343	Artefact
4.253046	9.113713	Artefact
1.178628	8.661201	Polylobed
4.1427155	9.021208	Artefact
4.198062	9.071017	Artefact
4.8874054	3.6423206	Artefact
4.113756	9.0219555	Artefact
1.7020649	6.7889657	Polylobed
1.6072109	6.6925993	Polylobed
4.1543255	9.043764	Artefact
6.56245	7.5984817	Artefact
6.327342	7.5674	Artefact
4.731171	9.00712	Artefact
1.5383708	6.792011	Polylobed
3.6497886	5.4774857	Polylobed
3.1605093	5.6960363	Polylobed
4.8721504	8.813987	Artefact
4.829755	8.933882	Artefact
4.438125	9.272862	Artefact
4.4813232	9.317274	Artefact
2.6639879	6.150799	Polylobed
5.514064	7.8434477	Metaphase
5.5019393	7.877808	Metaphase
4.460236	9.304295	Artefact
2.7257538	5.938541	Polylobed
4.448161	9.276008	Artefact
2.73302	5.9935975	Polylobed
4.413362	9.295254	Artefact
4.432301	9.307878	Artefact
4.402483	9.224319	Artefact
4.9455323	8.018463	Artefact
6.308588	6.9824443	Artefact
4.8055315	3.1056967	MetaphaseAlignment
0.9644867	4.729228	Polylobed
0.9865287	4.75963	Polylobed
1.0251832	4.6681857	Polylobed
4.896177	8.731877	Metaphase
1.361398	9.164039	Polylobed
1.3835939	9.153527	Polylobed
1.3844793	9.202354	Polylobed
1.4246864	9.099544	Polylobed
1.3944335	9.1388445	Polylobed
4.7812862	8.117843	Artefact
1.4618524	10.006827	Polylobed
1.4210095	10.007031	Polylobed
1.4088746	10.060869	Polylobed
1.4224467	10.04828	Polylobed
1.9378769	7.466581	Large
1.649079	8.6730585	Large
4.951434	8.675828	Large
1.158548	8.76547	Polylobed
1.2509083	8.594682	Polylobed
1.2355089	8.74803	Polylobed
1.2327514	8.619476	Polylobed
1.5261587	6.7888494	Polylobed
1.512374	6.7597375	Polylobed
1.5385295	6.7941027	Polylobed
1.5250783	6.7784185	Polylobed
2.670628	6.170346	Polylobed
2.71598	6.103732	Polylobed
