	Apoptosis	Artefact	Binuclear	Elongated	Folded	Grape	Hole	Interphase	Large	Metaphase	MetaphaseAlignment	Polylobed	Prometaphase	SmallIrregular	UndefinedCondensed
100	0.08343675218979091	0.0	0.0071700869136105344	0.018952630577353993	0.006437896130959307	0.0	0.08351014039629796	0.004532939772055674	0.0	0.0030043684645803836	0.008668214314056679	0.0025937860669159067	0.029831005437144183	0.023649958041698848	0.0803740378987945
101	0.029738395085065508	0.00812903258293915	3.0249854514336176e-08	0.0	0.01497503067014382	0.0619512651702494	0.0	0.01778258234338281	0.051287939175802454	0.01624643591087055	0.02691119301786207	0.02746270320223144	0.020005891084586478	0.03408849711995607	0.02175544858544073
102	0.009253466571778684	0.0032555239806445224	0.06345014599220462	0.0	0.0	0.0185580001758286	0.0	0.04793679090698471	0.009245119153607085	0.006917773613357655	0.003394238266024374	0.030581808351001404	0.006559701588535353	0.015396336520097934	0.00012663418366743156
103	0.002858698501196393	0.023749959289116808	0.04951432314019523	0.0	0.008455943674102536	0.0	0.015749586828978528	0.11248566287636592	0.022463700134641468	0.05306805818970411	0.05939347313742555	1.5751121272895453e-07	0.09272737094107289	0.018200186018682316	0.01651116643292285
104	0.009873736323890926	0.0069789405913748305	0.06663118277879196	0.0	0.01792160933507924	0.0	0.03377623096516	0.07642014382518375	0.007222717697677062	0.05506914342963149	0.012509963777484853	0.04552115667993243	0.0	0.0005949909036514386	0.015434079797166373
105	0.0	0.012008258486523394	0.014465573071458251	0.002694050301520338	0.0	0.0778036802696241	0.0249882976431112	0.06233775309771325	0.010602427018011677	0.014106069319204096	0.044392147435272714	0.06955373756593516	0.0	0.007055035521675051	0.03542349737637336
106	0.0013583747467995888	0.02411560804321311	0.01027434307148464	0.0	0.0	0.0	0.0544454989713072	0.024535921790964938	0.01157367058790398	0.03799120591313888	0.009646238742090283	0.051278917098857436	0.0	0.04810544277477354	0.02849669405220056
107	0.0	0.04836965741374829	0.013029830769690906	0.01256254161734058	0.0	8.78008804890844e-05	0.0	0.04025859786584463	0.001071846614573085	6.881735856622705e-08	0.0	0.0994843917582378	0.0	0.014229849780242054	0.0
108	0.0	0.003735409093679312	0.0855913302433309	0.0	0.027278617419947235	0.02832742872574872	0.026458472958056655	0.026317726114297012	0.09119750879206955	0.004379358836990092	0.018919086338474826	0.0008493184218819129	0.029425584773984624	0.0	0.0
109	0.03538637755479709	0.0	4.102173305659289e-08	0.006968076665559652	0.009520469255931726	0.0	0.0	0.0	0.0	0.004567916251195594	0.0	9.753057648837456e-05	0.006760552403859344	0.0	0.0
110	0.03379254597585738	0.0045054826666715	4.4834386109680055e-07	0.006712265976277148	0.0	0.04333404592970196	7.854150176409614e-05	0.02791874932981815	0.0	1.4224637641479328e-07	4.168296265319741e-08	0.01769229094621618	0.017613448952041286	8.57036270106586e-08	0.0
111	0.0007640678764268839	0.0025322612148961925	1.943544089591748e-07	0.0	0.04683511932716019	0.10630427493248151	0.057136919372016946	0.06477348148517317	0.028649540062383093	0.0	0.0	0.1254342148360581	0.056580088989060785	0.002282745755776713	0.0
112	0.013554159870486011	0.007470748902852176	0.06857449204244773	0.04248659778734324	0.0	0.06466492456076879	0.077623769582975	0.017509561730634168	0.036190636361091974	0.010026712201556095	0.022990056290732242	0.11759279002858034	0.0	0.0	0.0
113	0.06756663994184997	0.0	0.07772534407505027	0.003365315856942895	0.0	0.016218369779859486	0.0	0.12860058991695725	0.018244613261392147	0.0	0.0922500676755537	0.10765161300294432	0.06454429059594291	0.06064631768017438	0.0017213769985479062
114	0.0	0.02863148693544857	0.014833757472320228	0.0	0.031709367534840084	0.014936023097860235	0.0	0.020681743097018354	0.04311208869095052	0.03916305434997784	0.0897722918634385	0.0009687706729650346	0.02522875216255105	0.04604946343690446	0.0
115	0.020122040755505367	0.02309845706187259	0.07444809594426059	0.012117358778625974	0.019367095745924445	0.009802173687745401	0.09788129643358547	0.05383201879858437	0.00810612722042359	0.009683943557623517	0.02699011604487225	0.07698106407154927	0.0027213478850968455	3.589915040824055e-08	0.0151290886303085
116	0.0	0.05926330713249517	0.013360070544515525	0.0	0.0	0.04529342143363964	0.0020488614239567225	0.0	0.0134891133057499	4.992267699739573e-08	0.009549582620972287	0.03446396674414623	0.001227753060956092	0.0	0.0
117	0.015374607606644688	0.0	0.01804986542041079	0.05172040324908923	0.0	0.0631757596475259	0.021467727261362066	0.021343838906947243	0.0	0.010113657566184644	0.0048886030804060196	0.05281273927761766	0.0579963612368826	0.002221744923877974	0.010917996760735085
118	0.049841221690520326	0.013285669774236316	0.011745402964933387	0.05433611799241276	0.0	0.003359394273329852	0.012293949876046095	0.0	0.013585182989151384	0.025608838358594836	0.04787773664863647	0.010972136500875541	0.0	0.024382390012508803	0.045148100231671665
119	0.001723024554516518	0.0	0.02511209596542574	0.01522163817878351	0.034783898404668626	0.07747486728967724	0.00443299827719238	0.027279644020385255	0.0	0.05579210339830584	0.0	0.06149911557953453	0.01682707006578806	0.0	0.0
120	0.003911015189214408	0.063281225296729	0.04724047954744942	0.03256208803227015	0.0015304339005802663	0.0	0.0	0.041051932247542985	0.013787918494485105	0.04142746356452352	0.03465868724999563	0.03786999515780349	0.009854171056263772	0.06011502926106503	0.0
121	0.006808062788083376	0.08849893584658705	0.0038642666733045613	0.03044116860375359	0.019174550916842517	0.04995797401172142	0.07479452718876574	0.02374522143841947	0.001709578196406586	0.02357818575469738	0.023209310825015192	8.698026614508262e-07	0.005371347135176771	0.04272968482434263	0.006213610447058784
122	0.06465141416517399	0.05151639339623557	0.03353258794379593	0.010006487822100221	0.029568326360277994	0.015276817692016475	0.0008277428028807313	0.0	0.0	0.003844807766282533	2.9139161207232486e-06	0.1028004062401158	0.0	0.009264792440344822	0.015299464449457078
123	0.05089019267568116	0.02403390760606714	0.0051609768862321695	0.0	0.0	0.04294424162971945	0.006033688458404174	0.0	0.017774301839763675	0.0076621203321656185	5.221273553457966e-08	0.09314380017681445	0.03837211947946607	0.031978759490954314	0.030829117080068153
124	0.03843518400128641	0.0	0.10799254335745793	0.05039897748371513	0.03536209148017704	0.0	0.014690043743820064	0.040198240138086004	0.018407641584978773	0.029440180579704052	0.0026526547271342	0.0074122972761706965	0.01314281305110848	0.009404974624998876	0.018832870247642554
