Model_Type	Mitocheck_Phenotypic_Class	Model_Feature_Type	Model_Balance_Type	Average_Rank	Average_P_Value	Min_IQR_Rank	Max_IQR_Rank	Min_IQR_P_Value	Max_IQR_P_Value	Count
final	ADCCM	CP	balanced	2.0526315789473686	0.5211342101876913	1.0	3.0	0.0946140001493571	0.8737034217472599	95
final	ADCCM	CP	unbalanced	2.263157894736842	0.4347019627630367	1.0	3.0	0.03991696868571505	0.740536676233918	95
final	ADCCM	CP_and_DP	balanced	2.0842105263157893	0.5634536771706767	1.0	2.0	0.12579660312797256	0.921281221128118	95
final	ADCCM	CP_and_DP	unbalanced	2.2526315789473683	0.49607283313712114	1.0	3.0	0.0909810130982412	0.8251557330596422	95
final	ADCCM	CP_areashape_only	balanced	3.9894736842105263	0.19254012136757515	1.0	5.0	0.04735219122888275	0.3174962140277062	95
final	ADCCM	CP_areashape_only	unbalanced	5.389473684210526	0.11302127245943999	3.0	7.5	0.01990527165198265	0.15854077072454503	95
final	ADCCM	CP_zernike_only	balanced	4.673684210526316	0.1506649069382096	2.0	7.0	0.037513982944256646	0.19990908714523686	95
final	ADCCM	CP_zernike_only	unbalanced	6.4526315789473685	0.08506375351693729	4.0	9.0	0.01544311499649025	0.1168862288212601	95
final	ADCCM	DP	balanced	2.610526315789474	0.5118596814471161	1.0	3.0	0.07090705219972321	0.9308827053459481	95
final	ADCCM	DP	unbalanced	2.705263157894737	0.44619382994810736	1.0	3.0	0.0689979354578983	0.8058845855176004	95
final	Anaphase	CP	balanced	6.761904761904762	0.297425932978015	1.0	13.0	5.1941607953516945e-05	0.7275478297906156	84
final	Anaphase	CP	unbalanced	6.714285714285714	0.2702808420532919	1.0	12.0	9.443159329989546e-05	0.655247201756364	84
final	Anaphase	CP_and_DP	balanced	6.738095238095238	0.2970254151057213	1.0	13.0	0.000433368910233	0.7814932634873585	84
final	Anaphase	CP_and_DP	unbalanced	6.607142857142857	0.27806836767635607	1.0	12.25	0.000515677417195775	0.694951039221164	84
final	Anaphase	CP_areashape_only	balanced	7.7976190476190474	0.24764323710804792	1.0	15.0	0.00103890721895885	0.5785449847594197	84
final	Anaphase	CP_areashape_only	unbalanced	8.023809523809524	0.1846135487381028	1.0	14.0	0.00120398226686445	0.3510041291673104	84
final	Anaphase	CP_zernike_only	balanced	6.5476190476190474	0.18928620744937918	1.0	11.0	0.0112812930323014	0.23532822287969712	84
final	Anaphase	CP_zernike_only	unbalanced	8.19047619047619	0.13374316283376775	3.0	12.25	0.003371134805683575	0.12429628791038033	84
final	Anaphase	DP	balanced	6.488095238095238	0.24362202146315698	1.0	11.0	0.000243859307532475	0.4488878752641001	84
final	Anaphase	DP	unbalanced	6.333333333333333	0.2237394266771379	1.0	10.25	0.00079387356146395	0.39378208051519636	84
final	Apoptosis	CP	balanced	4.443223443223443	0.35057348648282227	1.0	7.0	0.0048439343673405	0.7351679097332794	273
final	Apoptosis	CP	unbalanced	4.336996336996337	0.37908020608469806	1.0	6.0	0.0047586553975621	0.823178672974805	273
final	Apoptosis	CP_and_DP	balanced	3.73992673992674	0.428155634179668	1.0	5.0	0.0090823681033976	0.9351195773527268	273
final	Apoptosis	CP_and_DP	unbalanced	3.7985347985347984	0.43995885791520467	1.0	5.0	0.0069235214610816	0.9549294221132149	273
final	Apoptosis	CP_areashape_only	balanced	4.78021978021978	0.12607304346962186	2.0	7.0	0.0278335202105874	0.1801205689816434	273
final	Apoptosis	CP_areashape_only	unbalanced	4.073260073260073	0.1864839154352145	1.0	6.0	0.0321087778509676	0.293882692555043	273
final	Apoptosis	CP_zernike_only	balanced	4.930402930402931	0.10963483943136211	2.0	7.0	0.0318645662012092	0.1470205424560068	273
final	Apoptosis	CP_zernike_only	unbalanced	4.095238095238095	0.15599703623095115	2.0	6.0	0.0376495954155563	0.2139711969240596	273
final	Apoptosis	DP	balanced	3.600732600732601	0.41080789171429105	1.0	5.0	0.0048670247666861	0.9335664203874512	273
final	Apoptosis	DP	unbalanced	3.681318681318681	0.4073728878810171	1.0	5.0	0.0060269254147391	0.918020168529714	273
final	Binuclear	CP	balanced	4.4021739130434785	0.36787481565419294	1.0	5.0	0.003139325322343725	0.7821739197254184	184
final	Binuclear	CP	unbalanced	4.385869565217392	0.33291185588095096	1.0	4.25	0.003603286417450625	0.705928850706643	184
final	Binuclear	CP_and_DP	balanced	4.4021739130434785	0.3482063151016752	1.0	5.0	0.005423098375371625	0.6904091113594819	184
final	Binuclear	CP_and_DP	unbalanced	4.413043478260869	0.3184585728324772	1.0	5.0	0.003076837824106675	0.6540498768682218	184
final	Binuclear	CP_areashape_only	balanced	4.059782608695652	0.15611458202916467	1.75	6.0	0.029905482666811974	0.24571138144932647	184
final	Binuclear	CP_areashape_only	unbalanced	4.385869565217392	0.1288550917488161	2.0	6.0	0.0202787951933415	0.19639525200546679	184
final	Binuclear	CP_zernike_only	balanced	4.820652173913044	0.11621341039692719	2.0	7.0	0.035673632257700524	0.17180606923975106	184
final	Binuclear	CP_zernike_only	unbalanced	4.940217391304348	0.09898304458074073	3.0	7.0	0.02854680965605955	0.14624854089498768	184
final	Binuclear	DP	balanced	4.173913043478261	0.31735559365039007	1.0	5.0	0.003979677116059525	0.6028609866654815	184
final	Binuclear	DP	unbalanced	4.282608695652174	0.28014225563996403	1.0	5.0	0.00454867913841945	0.4711354310950646	184
final	Elongated	CP	balanced	3.3363636363636364	0.6538675286558074	1.0	5.75	0.006217331638116275	0.9917832285234776	110
final	Elongated	CP	unbalanced	3.4363636363636365	0.6289932222652874	1.0	5.0	0.005028462031980675	0.9863411287518988	110
final	Elongated	CP_and_DP	balanced	2.881818181818182	0.6284091933652557	1.0	3.75	0.0438006178449296	0.9936670400989296	110
final	Elongated	CP_and_DP	unbalanced	2.909090909090909	0.593133972686637	1.0	3.0	0.02978441802592275	0.9880589569437843	110
final	Elongated	CP_areashape_only	balanced	4.263636363636364	0.5687495423308782	1.0	8.75	0.01556526181074405	0.9577875110965891	110
final	Elongated	CP_areashape_only	unbalanced	4.318181818181818	0.5609928975510017	1.0	9.0	0.013974677780823425	0.954646128147163	110
final	Elongated	CP_zernike_only	balanced	4.927272727272728	0.5223807086113645	1.0	11.0	0.0066396753617658	0.9256883371954597	110
final	Elongated	CP_zernike_only	unbalanced	4.972727272727273	0.5076358857456579	1.0	11.0	0.0050819755574566	0.9111986412973572	110
final	Elongated	DP	balanced	3.0545454545454547	0.5632421155990412	1.0	5.0	0.0147310758690268	0.9959319196509523	110
final	Elongated	DP	unbalanced	2.9909090909090907	0.5261586855078849	1.0	4.0	0.015176264729504724	0.9865483951968639	110
final	Grape	CP	balanced	2.4324324324324325	0.5801188796364221	1.0	2.75	0.1915568597118424	0.9262035321239711	74
final	Grape	CP	unbalanced	2.5945945945945947	0.44734570223603537	1.0	3.0	0.09514407846833048	0.7314643440265027	74
final	Grape	CP_and_DP	balanced	2.5	0.5895821430731091	1.0	2.0	0.20840273110297727	0.9692844601725902	74
final	Grape	CP_and_DP	unbalanced	2.554054054054054	0.47662638451113837	1.0	2.0	0.0882226866418335	0.9035020322532835	74
final	Grape	CP_areashape_only	balanced	3.7432432432432434	0.2842894201966707	1.0	5.0	0.0631893992990944	0.4857167692509409	74
final	Grape	CP_areashape_only	unbalanced	4.864864864864865	0.11536241515196945	2.0	7.0	0.025018127257093577	0.1817962941106357	74
final	Grape	CP_zernike_only	balanced	4.594594594594595	0.22874009028463393	1.0	6.75	0.0500919855651163	0.3845133158344363	74
final	Grape	CP_zernike_only	unbalanced	5.851351351351352	0.0933064141388148	2.0	9.0	0.015342855839934826	0.14542871092030052	74
final	Grape	DP	balanced	2.9054054054054053	0.5213470805130669	1.0	2.75	0.044004317692968	0.9272298092503862	74
final	Grape	DP	unbalanced	3.0	0.4137585493081148	1.0	2.75	0.0525315466209757	0.7600723879725966	74
final	Hole	CP	balanced	3.245614035087719	0.4988362587005547	1.0	4.0	0.0182551846786492	0.947032417521819	114
final	Hole	CP	unbalanced	3.4298245614035086	0.4383052070601286	1.0	5.0	0.015550073220108051	0.8446672277401516	114
final	Hole	CP_and_DP	balanced	2.780701754385965	0.580149727338981	1.0	4.0	0.022805195232809924	0.9809789658408722	114
final	Hole	CP_and_DP	unbalanced	2.7982456140350878	0.5456467470338106	1.0	4.0	0.02020463698325215	0.963050786377094	114
final	Hole	CP_areashape_only	balanced	4.2631578947368425	0.17937838016943933	2.0	7.0	0.05316427545144935	0.280073421637387	114
final	Hole	CP_areashape_only	unbalanced	5.587719298245614	0.09866148579871636	3.0	8.0	0.01835244277443345	0.13549604439936772	114
final	Hole	CP_zernike_only	balanced	4.833333333333333	0.15661165305531363	2.0	7.0	0.0441526027124141	0.22928978084025964	114
final	Hole	CP_zernike_only	unbalanced	6.043859649122807	0.09022568109431171	3.0	9.0	0.02168049703813055	0.1260228944304781	114
final	Hole	DP	balanced	2.7719298245614037	0.49555710414539333	1.0	3.0	0.011474846076725526	0.9558076886453075	114
final	Hole	DP	unbalanced	2.8508771929824563	0.45903914090157566	1.0	3.75	0.01444412203251165	0.9147749949920367	114
final	Interphase	CP	balanced	5.354761904761904	0.27378237339542555	1.0	9.25	0.00025625026367745	0.5903299006810776	420
final	Interphase	CP	unbalanced	4.880952380952381	0.35559516847565065	1.0	9.0	0.00028785238266282505	0.7982211047755633	420
final	Interphase	CP_and_DP	balanced	5.2976190476190474	0.27983808593026543	1.0	9.0	0.001044057167365125	0.6181442555941137	420
final	Interphase	CP_and_DP	unbalanced	5.223809523809524	0.3347457779765925	1.0	9.0	0.000863450492317075	0.7697075801186866	420
