Metadata_DNA	Model_Type	Mitocheck_Phenotypic_Class	Model_Feature_Type	Model_Balance_Type	Average_Rank	Average_P_Value	Min_IQR_Rank	Max_IQR_Rank	Min_IQR_P_Value	Max_IQR_P_Value	Count
LT0010_27/LT0010_27_173_83.tif	final	Large	CP	unbalanced	13.333333333333334	0.00012628115524815405	13.0	13.5	0.00010479667437878107	0.00016849915436560002	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_and_DP	balanced	10.666666666666666	0.0018632731119271192	10.5	11.0	0.0004934636570529292	0.00278290839865055	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_and_DP	unbalanced	10.666666666666666	0.0020080201294449553	10.5	11.0	0.0008771675212426331	0.002979048917069	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_areashape_only	balanced	13.666666666666666	0.0006606780526202333	13.5	14.0	0.00040115740594115	0.00080578800026055	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_areashape_only	unbalanced	13.666666666666666	0.00042492995707299995	13.5	14.0	0.00027168269924455	0.00054626007677655	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_zernike_only	balanced	5.666666666666667	0.029386473898986798	5.0	6.5	0.0225319439196755	0.0376576657485335	3
LT0010_27/LT0010_27_173_83.tif	final	Large	CP_zernike_only	unbalanced	9.0	0.019888882593017732	8.5	9.5	0.01437979675499575	0.026211775585249952	3
LT0010_27/LT0010_27_173_83.tif	final	Large	DP	balanced	9.0	0.019672461694018043	7.5	11.5	7.96865752202664e-05	0.0295086197254312	3
LT0010_27/LT0010_27_173_83.tif	final	Large	DP	unbalanced	9.0	0.009755744051459363	8.0	11.0	0.00027925936182274355	0.0146324472117452	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP	balanced	5.190476190476191	0.10386070854740052	2.0	7.0	0.0622536039583129	0.139701384655191	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP	unbalanced	11.761904761904763	0.031917287883516804	11.0	13.0	0.019970535693027	0.0418024799290674	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_and_DP	balanced	6.142857142857143	0.06647613363350706	3.0	9.0	0.0072962298980518	0.0633334977757152	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_and_DP	unbalanced	7.476190476190476	0.036072717141879804	5.0	10.0	0.012740218252562	0.0521776586057451	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_areashape_only	balanced	12.476190476190476	0.027220728379335972	11.0	14.0	0.0158838264751895	0.0353996556445623	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_areashape_only	unbalanced	14.142857142857142	0.009838056212731297	14.0	15.0	0.0066980135136528	0.0121965728171438	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_zernike_only	balanced	7.428571428571429	0.06738021483638482	5.0	11.0	0.053849727458229	0.0796796211869986	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	CP_zernike_only	unbalanced	13.761904761904763	0.01603165301199639	13.0	14.0	0.0137485489139346	0.01856600002519	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	DP	balanced	13.238095238095237	0.0009325651684783194	13.0	15.0	9.146942809912608e-05	0.0007455585940738	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Elongated	DP	unbalanced	8.476190476190476	0.0046065406338809895	7.0	10.0	9.3337212201005e-05	0.0038395693650803	21
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP	balanced	14.666666666666666	0.005889214786453001	14.5	15.0	0.002801704972905	0.008700672715909501	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP	unbalanced	7.666666666666667	0.05878709774562563	6.0	9.0	0.0506592246028925	0.0715333291814298	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_and_DP	balanced	10.666666666666666	0.008723382436319833	9.5	13.0	0.00172488891270025	0.012676860484308399	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_and_DP	unbalanced	7.0	0.03383894615495207	5.5	8.0	0.018944100905348	0.0466015939166573	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_areashape_only	balanced	2.0	0.1215226924908767	1.5	2.5	0.10338989965980294	0.13237750699761786	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_areashape_only	unbalanced	14.333333333333334	0.0086572645066326	14.0	14.5	0.00734560956568175	0.010751654175963351	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_zernike_only	balanced	1.6666666666666667	0.10408090213978748	1.0	2.0	0.09973593488734335	0.11091942764268195	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	CP_zernike_only	unbalanced	11.0	0.031089939668366567	10.5	11.5	0.0282216389191674	0.032912450611167	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	DP	balanced	11.666666666666666	0.0016675475857502	11.0	12.0	0.0006459240286654	0.00230756601753865	3
LT0010_27/LT0010_27_173_83.tif	shuffled_baseline	Large	DP	unbalanced	10.333333333333334	0.006293377850708067	8.5	11.5	0.0026613611920563	0.0093447662616872	3
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP	balanced	1.5	0.32697415012770203	1.25	1.75	0.19308000658996763	0.46086829366543647	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP	unbalanced	1.5	0.5210175093530112	1.25	1.75	0.3791377555635461	0.6628972631424762	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_and_DP	balanced	1.5	0.39160537437753457	1.25	1.75	0.19899667522876893	0.5842140735263002	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_and_DP	unbalanced	1.5	0.4708820907196591	1.25	1.75	0.26089975393212533	0.6808644275071928	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_areashape_only	balanced	3.5	0.06027859414225185	3.25	3.75	0.034770232551608125	0.08578695573289558	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_areashape_only	unbalanced	3.0	0.17466910853567336	2.5	3.5	0.10218850497621842	0.2471497120951283	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_zernike_only	balanced	5.0	0.0834212919658481	4.5	5.5	0.079055242085356	0.08778734184634021	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	CP_zernike_only	unbalanced	2.0	0.17907954851523517	2.0	2.0	0.17324168683344723	0.18491741019702307	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	DP	balanced	2.0	0.32391618359554875	1.5	2.5	0.18464899052034134	0.4631833766707561	2
LT0012_25/LT0012_25_349_83.tif	final	Polylobed	DP	unbalanced	2.0	0.3952533474113366	1.5	2.5	0.2655206829161827	0.5249860119064905	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP	balanced	8.5	0.0359566844205957	7.25	9.75	0.0265591320949486	0.045354236746242796	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP	unbalanced	5.5	0.0730552634301469	4.75	6.25	0.0642423469778375	0.0818681798824563	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_and_DP	balanced	7.0	0.35464021578224697	4.0	10.0	0.17734674591482982	0.5319336856496641	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_and_DP	unbalanced	13.5	0.0043932718244218995	13.25	13.75	0.00349276535864475	0.0052937782901990495	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	balanced	6.0	0.08245979573798015	5.0	7.0	0.07147374409710328	0.09344584737885703	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	unbalanced	3.5	0.10662845928005925	3.25	3.75	0.10458159770036878	0.10867532085974972	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	balanced	4.0	0.07559003022086425	4.0	4.0	0.07376454040058053	0.07741552004114798	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	unbalanced	2.0	0.15660460273083548	1.5	2.5	0.13879958914384238	0.1744096163178286	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	DP	balanced	3.0	0.0780768031888677	3.0	3.0	0.0644687961029644	0.091684810274771	2
LT0012_25/LT0012_25_349_83.tif	shuffled_baseline	Polylobed	DP	unbalanced	11.0	0.0028063065167361	10.5	11.5	0.00256108555245265	0.00305152748101955	2
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP	balanced	7.0	0.1360942672739056	5.5	10.0	2.9912921641331664e-05	0.1367750943008317	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP	unbalanced	6.5	0.16613578116804803	5.5	8.5	3.3022399357760725e-05	0.16671907196029834	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_and_DP	balanced	8.0	0.23889182218675065	4.75	11.25	0.000897192379880975	0.24033648311941244	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_and_DP	unbalanced	7.75	0.24203024991939603	4.75	10.5	0.00051766522130565	0.24333780219495593	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_areashape_only	balanced	6.75	0.04816669521534435	5.25	8.0	0.00864556828833145	0.062813608687247	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_areashape_only	unbalanced	5.5	0.06509264376528127	5.25	6.25	0.010829737047723026	0.07819886175055721	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_zernike_only	balanced	5.75	0.05552802251465322	4.75	6.0	0.027738248350386997	0.06812969835341548	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	CP_zernike_only	unbalanced	4.75	0.06371639565898934	3.0	5.25	0.0244609123682449	0.09251548932023235	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	DP	balanced	6.5	0.2507542281987399	3.25	8.75	0.002627304673796175	0.2712308323992794	4
LT0012_29/LT0012_29_252_83.tif	final	Apoptosis	DP	unbalanced	6.5	0.2545569378611363	3.25	8.25	0.0177021619505878	0.26689237893624385	4
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP	balanced	6.428571428571429	0.23288592608109907	2.0	11.5	2.8486584654316565e-07	0.3553580909566917	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP	unbalanced	6.428571428571429	0.284450319188486	1.5	12.5	6.477778222100126e-08	0.4743737251355082	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_and_DP	balanced	4.285714285714286	0.4047726734572226	1.0	7.5	0.003198933539927083	0.7406371851000495	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_and_DP	unbalanced	4.571428571428571	0.416499419668981	1.0	7.5	0.0024831382775070744	0.7602802204225574	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_areashape_only	balanced	4.714285714285714	0.0781317399339398	4.0	4.5	0.05365461672199965	0.0994504951983434	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_areashape_only	unbalanced	3.7142857142857144	0.12298723044512919	3.5	4.0	0.062289951493254656	0.16504965369473926	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_zernike_only	balanced	4.714285714285714	0.10245030991007428	3.0	6.5	0.05289288138611205	0.12686388475273364	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	CP_zernike_only	unbalanced	2.7142857142857144	0.1767096907793852	1.5	3.5	0.07843512653133039	0.2416635165657624	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	DP	balanced	2.0	0.45312787965320783	1.0	2.5	0.04550765871334305	0.7692376554566811	7
LT0012_29/LT0012_29_252_83.tif	final	Polylobed	DP	unbalanced	2.142857142857143	0.4516584839257264	1.0	3.0	0.0502052699751026	0.7372845903576699	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP	balanced	7.0	0.04935499524935563	5.5	8.5	0.04569101212915967	0.05756243896601415	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP	unbalanced	6.5	0.06736829336507008	3.75	8.75	0.03943772580580885	0.10094910955069018	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_and_DP	balanced	7.25	0.23727849932971531	4.75	11.0	0.001555871301967025	0.23967916449668786	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_and_DP	unbalanced	10.75	0.006419972172485475	9.5	13.25	0.0019498214625300748	0.0072378421908100505	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_areashape_only	balanced	8.75	0.06183749501765072	7.25	12.0	0.045489397396250325	0.06987898519407876	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_areashape_only	unbalanced	3.25	0.11368362917932942	2.0	3.75	0.1021559049283279	0.13550196183123603	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_zernike_only	balanced	9.25	0.06163396688296473	7.75	11.5	0.057511536530286705	0.06379454809585128	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	CP_zernike_only	unbalanced	7.75	0.06826221222694864	5.0	10.25	0.0515122554514376	0.08206505078441459	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	DP	balanced	9.0	0.10525036541431143	7.75	12.25	0.00125789593428825	0.11355729472971587	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Apoptosis	DP	unbalanced	10.0	0.010587448583870049	5.5	15.0	0.0010884835326526743	0.011905900553968176	4
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP	balanced	5.571428571428571	0.11907135976762631	1.5	9.0	0.04166633106068455	0.19998244765262452	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP	unbalanced	5.428571428571429	0.08279117964655179	3.0	7.0	0.06352884571263995	0.09480770509469816	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_and_DP	balanced	6.857142857142857	0.04010563617876671	4.5	8.5	0.000890094407041	0.0275401140539386	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_and_DP	unbalanced	4.285714285714286	0.06674898204734107	2.5	6.0	0.03383343240478745	0.07160395788237445	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	balanced	6.571428571428571	0.06646907562585183	4.0	9.0	0.05148118396531475	0.07514854043671475	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_areashape_only	unbalanced	3.2857142857142856	0.13766004447088784	2.5	4.5	0.1075056165181649	0.13816268051206554	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	balanced	9.142857142857142	0.06153489693696552	7.5	10.5	0.0601083579070305	0.06473204979733016	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	CP_zernike_only	unbalanced	3.142857142857143	0.11521735996235787	2.5	4.0	0.0989118948050266	0.1239599783889144	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	DP	balanced	7.285714285714286	0.16996837616129548	3.0	12.0	0.0020543815912948417	0.1133250300240231	7
LT0012_29/LT0012_29_252_83.tif	shuffled_baseline	Polylobed	DP	unbalanced	5.142857142857143	0.27417392377264366	1.5	8.5	0.0081267845369454	0.4493289323236106	7
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP	balanced	11.6	0.17094529887835863	13.0	15.0	8.117644658977162e-05	0.0006980033982741	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP	unbalanced	11.6	0.15964709985092324	13.0	15.0	0.000113669883936	0.0007016609432695	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_and_DP	balanced	6.4	0.11496337766983225	4.0	8.0	0.0005464828599556	0.0377914401081469	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_and_DP	unbalanced	6.0	0.09620451023239064	4.0	6.0	0.001188974680963	0.0267342974324165	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_areashape_only	balanced	6.2	0.05019614414541388	5.0	8.0	0.0104306970493886	0.0383749937503808	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_areashape_only	unbalanced	6.6	0.03870425956566878	5.0	9.0	0.0070392068972968	0.025981324269725	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_zernike_only	balanced	6.0	0.07726174875765172	5.0	9.0	0.0194253850328242	0.0859896142357257	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	CP_zernike_only	unbalanced	5.2	0.07215618345211203	4.0	7.0	0.0160771428391788	0.0694164788931573	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	DP	balanced	4.6	0.1944618997184185	2.0	3.0	0.0862123361984801	0.2348781559552044	5
LT0013_38/LT0013_38_42_47.tif	final	Binuclear	DP	unbalanced	4.4	0.1581110697034987	1.0	3.0	0.080395803676605	0.2570253693757221	5
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP	balanced	9.0	0.036580692232540055	6.5	11.5	0.01833077755383169	0.05483060691124843	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP	unbalanced	9.5	0.014080909729745586	7.25	11.75	0.007089412716286128	0.02107240674320504	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_and_DP	balanced	6.0	0.0755919044548734	4.0	8.0	0.0384990067222066	0.1126848021875402	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_and_DP	unbalanced	6.0	0.03324507857955295	4.0	8.0	0.017340272558213028	0.04914988460089288	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_areashape_only	balanced	10.0	0.0336368085940829	9.0	11.0	0.01801192009596165	0.04926169709220415	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_areashape_only	unbalanced	10.5	0.0139980943720992	9.25	11.75	0.0075307312787265	0.0204654574654719	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_zernike_only	balanced	12.0	0.01184360224726795	11.0	13.0	0.0066084233543113255	0.017078781140224576	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	CP_zernike_only	unbalanced	13.5	0.0089091981605539	13.25	13.75	0.00482158713786485	0.01299680918324295	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	DP	balanced	4.0	0.01422976899309205	3.0	5.0	0.007279146478840775	0.021180391507343327	2
LT0013_38/LT0013_38_42_47.tif	final	Elongated	DP	unbalanced	4.0	0.00538336116536535	3.0	5.0	0.0028030561290364247	0.007963666201694274	2
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP	balanced	5.0	0.08838848482281358	2.0	7.0	0.009355230278842901	0.15633441200874243	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP	unbalanced	5.0	0.16004158313599928	2.0	7.25	0.01365017709212735	0.2881529289808976	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_and_DP	balanced	4.25	0.08263579153226572	2.0	3.5	0.0204963131806602	0.12569988156084885	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_and_DP	unbalanced	4.25	0.09956773515789508	2.0	3.75	0.026932883942898948	0.15725424299990567	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_areashape_only	balanced	5.375	0.1092598101564218	3.0	8.5	0.018982494778454324	0.1601225258181302	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_areashape_only	unbalanced	4.5	0.20590551462729434	1.75	6.25	0.03668732750953985	0.34006573038886023	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_zernike_only	balanced	4.5	0.12900877328493465	2.0	5.75	0.06566530535336502	0.18770025639546475	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	CP_zernike_only	unbalanced	3.125	0.2573427016444297	1.0	3.25	0.11650570787032143	0.3874044693062633	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	DP	balanced	5.125	0.0415945942198257	3.0	6.25	0.002912437192380825	0.024738889844583674	8
LT0013_38/LT0013_38_42_47.tif	final	Interphase	DP	unbalanced	5.125	0.07796681835790456	2.75	7.75	0.005451840190225925	0.0431070037656393	8
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP	balanced	5.0	0.0310683523803314	5.0	5.0	0.0310683523803314	0.0310683523803314	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP	unbalanced	3.0	0.0497491165793239	3.0	3.0	0.0497491165793239	0.0497491165793239	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_and_DP	balanced	4.0	0.0042175108020399	4.0	4.0	0.0042175108020399	0.0042175108020399	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_and_DP	unbalanced	4.0	0.0040379501864075	4.0	4.0	0.0040379501864075	0.0040379501864075	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_areashape_only	balanced	10.0	0.0094876694107364	10.0	10.0	0.0094876694107364	0.0094876694107364	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_areashape_only	unbalanced	9.0	0.0070500634012475	9.0	9.0	0.0070500634012475	0.0070500634012475	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_zernike_only	balanced	12.0	0.0227942610044603	12.0	12.0	0.0227942610044603	0.0227942610044603	1
LT0013_38/LT0013_38_42_47.tif	final	Polylobed	CP_zernike_only	unbalanced	8.0	0.0259071314612731	8.0	8.0	0.0259071314612731	0.0259071314612731	1
